Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
382,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.26,0.89,0,0.3,3.46
387,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
411,Destiny,XOne,2014,Shooter,Activision,2.13,0.92,0,0.23,3.28
417,FIFA 16,XOne,2015,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23
419,Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
440,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
468,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31,3
472,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
479,The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0,0.29,2.97
480,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0,0.38,2.97
494,FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9
495,Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
506,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.87,0.77,0,0.22,2.86
534,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0,0.48,2.79
539,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
547,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74
554,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
594,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
644,Minecraft,XOne,2014,Misc,Microsoft Game Studios,1.43,0.76,0,0.22,2.41
646,Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.07,0.08,0,0.26,2.4
651,Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39
662,Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
663,NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38
683,NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.93,0.14,0,0.24,2.32
693,Guild Wars 2,PC,2012,Action,NCSoft,0.95,1.06,0,0.29,2.3
733,Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1.47,0.55,0,0.19,2.21
750,Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18
760,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.54,1.16,0.13,0.32,2.15
762,FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.41,0,0.14,2.15
772,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13
799,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09
801,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0,0,2.08
838,Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.53,0.25,0,0.25,2.03
847,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0,0.18,2.01
850,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
858,Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0,0.16,1.98
860,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
907,Destiny: The Taken King,PS4,2015,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
911,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89
931,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
947,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,0.84,0.76,0,0.23,1.83
949,Just Cause 3,PS4,2015,Action,Square Enix,0.46,1.02,0.07,0.28,1.83
959,The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
1020,Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
1024,Diablo III,PS4,2014,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
1028,Overwatch,PS4,2016,Shooter,Activision,0.64,0.68,0.14,0.26,1.73
1035,The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72
1036,The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
1039,Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision,0.41,0.98,0,0.33,1.72
1042,The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,0.59,0.87,0,0.25,1.71
1051,The Crew,PS4,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
1060,NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.36,0.18,0,0.15,1.69
1071,Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.19,1.69
1089,Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
1094,StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.82,0.65,0,0.19,1.67
1099,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
1124,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64
1149,Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61
1158,No Man's Sky,PS4,2016,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
1170,Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
1191,Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
1195,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
1204,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.13,1.55
1210,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
1219,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0,0.21,1.53
1226,FIFA 17,XOne,2016,Sports,Electronic Arts,0.17,1.26,0,0.1,1.53
1243,Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.3,0.09,0,0.12,1.51
1246,Football Manager 2012,PC,2011,Sports,Sega,0.02,1.16,0,0.34,1.51
1256,Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.86,0.48,0,0.17,1.5
1319,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45
1322,Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,0.32,1.45
1337,SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.19,1.44
1367,Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.64,0.06,0.25,1.41
1388,Battlefield 4,PC,2013,Shooter,Electronic Arts,0.38,0.86,0,0.16,1.4
1391,Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39
1418,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
1433,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.82,0.42,0,0.11,1.36
1446,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
1472,NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
1484,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1488,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32
1526,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1533,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.73,0.44,0,0.12,1.29
1543,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1545,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.61,0.56,0,0.11,1.28
1563,The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12,1.27
1573,Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26
1607,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0,0.13,1.23
1630,Madden NFL 17,PS4,2016,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
1674,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
1675,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
1700,FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0,0.12,1.19
1703,NBA 2K17,PS4,2016,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
1719,Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.09,1.17
1729,Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
1736,Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.22,1.17
1739,Destiny: The Taken King,XOne,2015,Shooter,Activision,0.82,0.23,0,0.11,1.17
1743,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.58,0.45,0,0.14,1.16
1763,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15
1771,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,0.03,1.15
1810,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.38,0.56,0,0.19,1.13
1814,Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.56,0.04,0.19,1.13
1831,Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,1.12,0,0,1.12
1834,Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
1838,Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.62,0.4,0,0.08,1.11
1884,Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0,0.11,1.09
1898,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.36,0.64,0,0.08,1.08
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
1979,Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
2006,Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
2009,LEGO Marvel Super Heroes,XOne,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0,0.09,1.04
2014,EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04
2055,Rayman Legends,PS4,2014,Platform,Ubisoft,0.21,0.61,0,0.18,1.01
2104,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.8,0,0.18,0.99
2105,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0,0.08,0.99
2108,Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0,0.14,0.98
2129,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
2133,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0,0.13,0.97
2170,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.15,0.96
2190,Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
2204,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.13,0.94
2226,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.11,0.93
2262,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.08,0.92
2265,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92
2273,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92
2294,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0,0.07,0.91
2317,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0,0.09,0.9
2331,LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
2344,EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89
2349,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0,0.09,0.89
2359,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.08,0.88
2369,Just Cause 3,XOne,2015,Action,Square Enix,0.42,0.38,0,0.07,0.88
2379,NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.06,0.87
2395,Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12,0.87
2436,Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0,0.07,0.85
2446,Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0,0.08,0.85
2454,Thief (2014),PS4,2014,Action,Square Enix,0.28,0.37,0.03,0.16,0.84
2459,MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16,0.84
2473,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2507,Madden NFL 17,XOne,2016,Sports,Electronic Arts,0.72,0.02,0,0.09,0.82
2513,Street Fighter V,PS4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
2531,Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.62,0.13,0,0.07,0.82
2544,Guitar Hero Live,PS4,2015,Misc,Activision,0.32,0.35,0,0.13,0.81
2556,Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
2645,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
2665,Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0,0.05,0.77
2701,Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0,0.11,0.76
2703,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76
2714,Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0,0.14,0.76
2730,Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0,0.11,0.76
2731,Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
2781,Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0,0.13,0.74
2799,Call of Duty: Ghosts,PC,2013,Shooter,Activision,0.23,0.41,0,0.09,0.73
2810,Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.32,0.34,0,0.07,0.73
2826,XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.26,0.36,0,0.1,0.72
2832,Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
2857,Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.03,0.72
2858,Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0,0,0.71
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.16,0.13,0.37,0.06,0.71
2877,Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
2891,Football Manager 2014,PC,2013,Sports,Sega,0,0.6,0,0.1,0.71
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
2963,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0,0.1,0.69
2971,The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.27,0.32,0,0.1,0.69
2974,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0,0.06,0.68
2981,Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
2989,Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68
2992,Sniper Elite 3,PS4,2014,Shooter,505 Games,0.22,0.33,0,0.13,0.68
2993,Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0,0.06,0.68
2996,Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0,0.06,0.68
3003,Mass Effect,PC,2008,Role-Playing,Electronic Arts,0,0.59,0,0.09,0.68
3012,Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.17,0,0.05,0.67
3020,Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0,0.06,0.67
3028,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0,0.05,0.67
3030,The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
3032,RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0,0.07,0.67
3036,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0,0.08,0.67
3037,Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.23,0.33,0,0.11,0.67
3042,Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0,0.02,0.67
3050,The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.53,0,0.12,0.67
3072,Rocksmith 2014,PC,2013,Misc,Ubisoft,0.35,0.24,0,0.07,0.66
3075,Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.52,0,0.12,0.66
3093,F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
3100,The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0,0.05,0.65
3113,MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.07,0.65
3134,Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0,0.09,0.64
3138,Diablo III,XOne,2014,Role-Playing,Activision,0.35,0.24,0,0.05,0.64
3147,NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.54,0.04,0,0.07,0.64
3151,LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0,0.1,0.64
3156,Dragon Age II,PC,2011,Action,Electronic Arts,0.23,0.33,0,0.09,0.64
3174,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0,0.1,0.64
3214,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
3220,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.4,0.23,0,0,0.63
3221,The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0,0.05,0.63
3233,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
3249,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0,0.05,0.62
3254,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0,0.06,0.62
3275,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0,0.11,0.62
3288,NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0,0.11,0.61
3289,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
3353,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
3361,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0,0.05,0.6
3378,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0,0.1,0.6
3384,Dead Space,PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59
3392,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59
3400,Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0,0.09,0.59
3430,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
3432,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0,0.09,0.59
3448,NHL 15,PS4,2014,Sports,Electronic Arts,0.3,0.18,0,0.1,0.58
3455,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0,0.39,0.58
3456,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
3458,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0,0.05,0.58
3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0,0.07,0.58
3528,Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0,0.11,0.57
3615,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.28,0.23,0,0.04,0.56
3658,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.17,0.33,0,0.05,0.55
3666,The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55
3712,Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.29,0.21,0,0.05,0.54
3713,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.54
3748,Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.32,0,0.08,0.54
3757,Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.37,0,0.04,0.54
3791,Batman: Arkham City,PC,2011,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0,0.09,0.53
3818,Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0,0.05,0.53
3880,Dragon Age: Origins,PC,2009,Role-Playing,Electronic Arts,0,0.46,0,0.06,0.51
3884,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.34,0.13,0,0.04,0.51
3890,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.18,0.29,0,0.04,0.51
3894,Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.17,0.23,0.02,0.09,0.51
3929,Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.27,0.19,0.01,0.04,0.51
3935,Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.24,0,0.08,0.51
